,url,prodname,price
0,https://nangsqueen.com.au/product/best-buy-fancy-whip-mint-615g/,Best Buy Fancy Whip Mint 615G,$0.00
1,https://nangsqueen.com.au/product/sses-blueberry-cream-chargers/,Best Buy SSES BLUEBERRY CREAM CHARGERS,$0.00
2,https://nangsqueen.com.au/product/sses-mango-cream-chargers/,Best Buy SSES MANGO CREAM CHARGERS,$0.00
3,https://nangsqueen.com.au/product/sses-original-flavour-cream-chargers/,Best Buy SSES ORIGINAL FLAVOUR Cream Chargers 8g,$0.00
4,https://nangsqueen.com.au/product/sses-strawberry-cream-chargers/,Best Buy SSES STRAWBERRY CREAM CHARGERS,$0.00
5,https://nangsqueen.com.au/product/best-buy-ultra-tank-aluminium-1l/,BEST BUY ULTRA TANK ALUMINIUM 1L,$0.00
6,https://nangsqueen.com.au/product/fancy-whip-strawberry-615g/,Fancy Whip Strawberry 615G,$0.00
7,https://nangsqueen.com.au/product/ignite-1l/,ignite 1L,$0.00
8,https://nangsqueen.com.au/product/ignite-1l-buy-6-free-2-only-160/,Ignite 1L Buy 6 Free 2 Only $160,$0.00
9,https://nangsqueen.com.au/product/ignite-3-3l/,Ignite 3.3L,$0.00
10,https://nangsqueen.com.au/product/professional-cream-whipper-0-5l/,Professional Cream Whipper 500ML,$0.00
11,https://nangsqueen.com.au/product/balloons-for-10/,Value Buy 10 Balloons,$0.00
12,https://nangsqueen.com.au/product/supreme-whip-cream-chargers-australia/,,
13,https://nangsqueen.com.au/product/bestwhip-cream-chargers-bundled/,,
14,https://nangsqueen.com.au/product/swag-tank-580g/,ignite 1L,$0.00
15,https://nangsqueen.com.au/product/mosa-cream-chargers/,,
16,https://nangsqueen.com.au/product/aussie-whip-ultra-pure-8-4g/,,
