,url,prodname,price
0,https://www.nangwizard.net/product/supremewhip-cream-chargers/,SupremeWhip Cream Chargers 8.2g,$49.00 – $350.00
1,https://www.nangwizard.net/product/large-cream-charger-tanks-580g-n2o/,SupremeMax 1.1L 680g Cream Charger Tanks (N2O),$59.99 – $349.99
2,https://www.nangwizard.net/product/best-whip-cream-chargers/,Bestwhip Cream Chargers 8.0g,"$80.00 – $1,429.99"
3,https://www.nangwizard.net/product/mosa-cream-chargers/,Mosa Cream Chargers,$89.99 – $349.99
4,https://www.nangwizard.net/product/isi-professional-cream-chargers/,Isi Professional Cream Chargers,$110.00 – $275.00
5,https://www.nangwizard.net/product/cocktail-shaker-set/,cocktail shaker set!,$35.00 GST
6,https://www.nangwizard.net/product/cream-chargers-3-3l-cylinder-skywhip-pro-max/,MEGA 3.3L 2050g Miami Magic Cylinder N2O Cream Charger,$109.99 – $294.99
7,https://www.nangwizard.net/product/pressure-regulator-and-adaptor-hose/,Pressure Regulator and Adaptor + hose,$50.00 GST
8,https://www.nangwizard.net/product/cream-chargers/,Supwhip Cream Chargers 8.2g,$74.99 – $350.00
9,https://www.nangwizard.net/product/bulla-thickened-cream-600ml/,Bulla thickened cream 600ml,$12.99 
10,https://www.nangwizard.net/product/dolla-sweets-5s-mixed-sprinkles/,Dolla Sweets 5’s Mixed Sprinkles,$8.00 
11,https://www.nangwizard.net/product/supreme-0-5l-premium-cream-whippers/,Supreme 0.5L Premium Cream Whippers,$75.00 Original price was: $75.00.$39.99Current price is: $39.99. GST
12,https://www.nangwizard.net/product/creamcharger-whipper-pack/,Creamcharger & Whipper pack! (INC GST),$102.99 – $339.99
