    ,URL                               ,Company
 67 ,creamchargers.co.uk               ,unknown
 61 ,www.whipcosydney-order.com        ,unknown
 35 ,www.benchargers.com               ,unknown
 32 ,ssesgas.com                       ,unknown
 31 ,perthnangs.com                    ,unknown
 30 ,perthcreamchargers.com            ,unknown
 65 ,cream-deluxe.com                  ,unknown
 27 ,nangtank.com                      ,unknown
 26 ,nangsydney.com                    ,unknown
 42 ,www.marzwhip.com                  ,unknown
 70 ,elitegas.com                      ,unknown
 22 ,nangsman.com                      ,unknown
 59 ,www.supreme-whip.com              ,unknown
 20 ,nangsdelivery.com                 ,unknown
 18 ,nangsbrisbane.com                 ,unknown
 73 ,ignitenang.com                    ,unknown
 72 ,fast-gas.com                      ,unknown
 82 ,nangme.net                        ,unknown
 53 ,www.nangwizard.net                ,unknown
  2 ,aussiechargers.com                ,unknown
  4 ,cake-emergency.com                ,unknown
100 ,www.nangsbrisbane.com             ,unknown
 54 ,www.partynangs.com                ,unknown
  9 ,exoticwhip.com                    ,unknown
 99 ,www.goldwhip.com                  ,unknown
 95 ,starwhip.com                      ,unknown
 90 ,nitrousmafia.com                  ,unknown
 13 ,nangchef.com                      ,unknown
 84 ,nangryau.com                      ,unknown
 57 ,www.shopgalaxygas.com             ,unknown
 38 ,www.creamshop.com.au              ,"{'name': 'Admin Manager', 'organization': 'EZYPLUS PTY LTD', 'rawText': 'Registrant Contact Name: Admin Manager'}"
 40 ,www.ezychargers.com.au            ,"{'name': 'Admin Manager', 'organization': 'Ezychargers Pty Ltd', 'rawText': 'Registrant Contact Name: Admin Manager'}"
  8 ,creamwizard.com.au                ,"{'name': 'Admin Manager', 'organization': 'The Trustee for HLC Holdings Trust', 'rawText': 'Registrant Contact Name: Admin Manager'}"
 29 ,perthchargers.com.au              ,"{'name': 'Admin Manager', 'organization': 'The Trustee for HLC Holdings Trust', 'rawText': 'Registrant Contact Name: Admin Manager'}"
 37 ,www.creamify.com.au               ,"{'name': 'Admin Manager', 'organization': 'The Trustee for Happy Good Day Unit Trust', 'rawText': 'Registrant Contact Name: Admin Manager'}"
 80 ,nangdeliveryperth.com.au          ,"{'name': 'Admin Manager', 'organization': 'ZDNK PTY LTD', 'rawText': 'Registrant Contact Name: Admin Manager'}"
 63 ,nangsydney.au                     ,"{'name': 'Alish Maharjan', 'organization': 'EL ENTERPRIZES PTY LTD', 'rawText': 'Registrant Contact Name: Alish Maharjan'}"
 34 ,whipitgoodbrisbane.com.au         ,"{'name': 'Boyd Collette', 'organization': 'Whip It Good Brisbane', 'rawText': 'Registrant Contact Name: Boyd Collette'}"
101 ,www.nangsnearme.com.au            ,"{'name': 'Brooke Tumanic', 'organization': 'TUMANIC, JAIMIE MATHEW', 'rawText': 'Registrant Contact Name: Brooke Tumanic'}"
104 ,www.supawhip.com.au               ,"{'name': 'Domain Manager', 'organization': 'EZYCHARGERS PTY LTD', 'rawText': 'Registrant Contact Name: Domain Manager'}"
 68 ,creamchargers.com.au              ,"{'name': 'Domain Manager', 'organization': 'EZYCHARGERS PTY LTD', 'rawText': 'Registrant Contact Name: Domain Manager'}"
 36 ,www.creamcity.com.au              ,"{'name': 'Domain Manager', 'organization': 'EZYPLUS PTY LTD', 'rawText': 'Registrant Contact Name: Domain Manager'}"
